Linear	Merge	

Size	Time (ms)																						
10000	1	2		1.50514997831991E-005	0.00000001																		
100000	15	19		1.14391398352313E-005	1.5E-009																		
200000	21	54		1.53325106433574E-005	5.25E-010																		
300000	36	62		1.13586796562057E-005	4E-010																		
400000	49	72		9.67240609764909E-006	3.0625E-010																		
500000	54	96		1.01417903802809E-005	2.16E-010																		
600000	82	107		9.29080604397683E-006	2.27777777777778E-010																		
700000	94	114		8.38735033570361E-006	1.91836734693878E-010																		
800000	139	129		0.000008223	2.171875E-010																		
900000	188	142		7.97680707243975E-006	2.32098765432099E-010																		
1000000	222	167		8.37866821264748E-006	2.22E-010																		
2000000	627	319		7.62006915400272E-006	1.5675E-010																		
2100000	1880	335		7.59566371404635E-006	4.26303854875283E-010																		
2300000	2310	356		7.32414357003986E-006	4.36672967863894E-010																		
2500000	5582	366		6.88827830605968E-006	8.9312E-010																		
2700000	6850	439		7.61039947948646E-006	9.39643347050754E-010																		
2900000	9443	442		7.09970563434483E-006	1.12282996432818E-009																		
3000000	10325	448		6.94040005088138E-006	1.14722222222222E-009																		
3100000	10718	455		6.80649714672691E-006	1.115296566077E-009																		
3300000	14763	545		7.6268242038755E-006	1.35564738292011E-009																		
3500000	18369	582		7.64921567305929E-006	1.49951020408163E-009																		
3700000	23734	597		0.000007395	1.7336742147553E-009																		
3900000	26026	614		7.19048140902143E-006	1.71111111111111E-009																		
4000000	28084	641		7.30681891235736E-006	1.75525E-009																		
4100000	42606	658		7.30579499547197E-006	2.53456276026175E-009																		
4300000	65424	675		7.1236803096462E-006	3.53834505137912E-009																		
4500000	67696	689		6.92763638895564E-006	3.34301234567901E-009																		
4700000	84571	705		6.76766143288665E-006	3.82847442281575E-009																		
4900000	91434	719		6.60242894727333E-006	3.80816326530612E-009																		
5000000	110927	744		6.68658962882461E-006	4.43708E-009																		
6000000	249424	897		6.63956626066997E-006	6.92844444444444E-009																		
7000000	525495	1041		6.54007590863523E-006	1.0724387755102E-008																		
8000000	1070183	1261		6.8737120848705E-006	1.6721609375E-008																		
																							
																							
Threshold, size = 1,000,000																							
Linear	Merge																					
Threshold	Time (ms)																						
10	228	171																					
50	197	162																					
100	156	154																					
300	107	153																					
500	82	155																					
1000	69	158																					
10000	82	162																					
100000	83	170																					
200000	96	174																					
300000	116	188																					
400000	119	198																					
500000	130	200																					
